ID_CLIENTE,TIPO_FUNCIONARIO,DIA_PAGAMENTO,TIPO_ENVIO_APLICACAO,QUANT_CARTOES_ADICIONAIS,TIPO_ENDERECO_POSTAL,SEXO,ESTADO_CIVIL,QUANT_DEPENDENTES,NIVEL_EDUCACIONAL,ESTADO_NASCIMENTO,CIDADE_NASCIMENTO,NACIONALIDADE,ESTADO_RESIDENCIAL,CIDADE_RESIDENCIAL,BAIRRO_RESIDENCIAL,FLAG_TELEFONE_RESIDENCIAL,CODIGO_AREA_TELEFONE_RESIDENCIAL,TIPO_RESIDENCIA,MESES_RESIDENCIA,FLAG_TELEFONE_MOVEL,FLAG_EMAIL,RENDA_PESSOAL_MENSAL,OUTRAS_RENDAS,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OUTROS_CARTOES,QUANT_CONTAS_BANCARIAS,QUANT_CONTAS_BANCARIAS_ESPECIAIS,VALOR_PATRIMONIO_PESSOAL,QUANT_CARROS,EMPRESA,ESTADO_PROFISSIONAL,CIDADE_PROFISSIONAL,BAIRRO_PROFISSIONAL,FLAG_TELEFONE_PROFISSIONAL,CODIGO_AREA_TELEFONE_PROFISSIONAL,MESES_NO_TRABALHO,CODIGO_PROFISSAO,TIPO_OCUPACAO,CODIGO_PROFISSAO_CONJUGE,NIVEL_EDUCACIONAL_CONJUGE,FLAG_DOCUMENTO_RESIDENCIAL,FLAG_RG,FLAG_CPF,FLAG_COMPROVANTE_RENDA,PRODUTO,FLAG_REGISTRO_ACSP,IDADE,CEP_RESIDENCIAL_3,CEP_PROFISSIONAL_3,ROTULO_ALVO_MAU=1
36011,C,1,0,0,1,F,7,2,0,GO,SANTA HELENA,1,GO,SANTA HELENA DE GOIAS,SETOR CENTRAL,Y,69,1,15,N,0,5000,0,0,0,0,0,0,1,1,0,1,Y,GO,SANTA HELENA DE GOIAS,CENTRO,Y,69,0,9,5,0,0,0,0,0,0,1,N,51,759,759,0
36012,C,10,Web,0,1,F,2,0,0,RS,ENCRUZILHADA DO SUL,1,RS,ENCRUZILHADA DO SUL,VILA DOS CASTROS,Y,54,1,15,N,1,650,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,16,2,NULL,NULL,0,0,0,0,1,N,48,966,966,0
36013,C,1,Web,0,1,F,1,0,0,CE,MORADA NOVA,1,CE,MORADA NOVA,CAMPO DE AVIACAO,Y,112,1,2,N,1,200,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,5,NULL,NULL,0,0,0,0,2,N,21,629,629,1
36014,C,5,Web,0,1,F,4,2,0,BA,GUARATINGA,1,SP,Sao Paulo,Vila Santa Ines,Y,5,1,5,N,1,773,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,NULL,NULL,NULL,0,0,0,0,1,N,32,381,381,0
36015,C,15,Web,0,1,F,1,0,0,CE,QUIXADA,1,CE,ITAITINGA,PQ SANTO ANTONIO,N, ,1,12,N,1,511.94,0,0,1,0,0,0,0,0,0,0,Y,CE,HORIZONTE,CATOLE,Y,107,0,9,2,NULL,NULL,0,0,0,0,1,N,30,618,618,1
36016,C,10,0,0,1,F,1,0,0,RS,SAP,1,RS,STO ANT DA PATRULHA,INTERIOR,Y,54,1,20,N,1,510,0,0,0,0,0,0,1,1,0,1,Y,RS,STO ANT DA PATRULHA,PITANGUEIRAS,N, ,0,9,5,0,0,0,0,0,0,1,N,36,955,955,0
36017,C,1,Web,0,1,F,1,0,0,BA,TEIXEIRA DE FREITAS,1,BA,MEDEIROS NETO,PLANALTOII,Y,84,1,NULL,N,1,200,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,19,459,459,0
36018,C,10,0,0,1,M,7,2,0,SP,sao paulo,1,SP,Sao Paulo,Vila Dom Pedro II,Y,5,1,10,N,0,2577,0,0,1,0,1,0,1,1,0,1,Y, ,NULL,NULL,N, ,0,9,1,0,0,0,0,0,0,1,N,41,224,224,0
36019,C,15,Web,0,1,F,4,0,0,RS,CAMAQUA,1,RS,CAMAQUA,VILA NOVA,N, ,1,65,N,1,350,0,1,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,1,NULL,2,0,0,0,0,1,N,75,961,961,1
36020,C,25,0,0,1,F,1,1,0,BA,MORPARA,1,SP,SAO PAULO,VILA MARIA ALTA,Y,5,2,1,N,1,313,0,0,0,0,0,0,1,1,0,0,Y,SP,SAO PAULO,VILA MARIA BAIXA,Y,5,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,30,213,213,0
36021,C,20,Web,0,1,F,4,6,0,PE,LIMOEIRO,1,PE,Recife,areias,Y,97,1,10,N,1,210,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,2,4,NULL,NULL,0,0,0,0,1,N,61,508,508,0
36022,C,10,0,0,1,F,4,0,0,PE,recifepe,1,PE,Olinda,Rio Doce,N, ,1,1,N,0,583,332,0,0,0,0,0,1,1,0,1,Y,PE,Olinda,Varadouro,Y,97,0,9,5,0,0,0,0,0,0,1,N,59,530,530,0
36023,C,10,0,0,1,F,4,0,0,RN,SANTANA DO MATOS,1,RN,MOSSORO,BARROCAS,N, ,1,1,N,1,350,0,0,0,0,0,0,1,1,0,1,Y, ,NULL,NULL,N, ,0,11,5,11,0,0,0,0,0,1,N,81,596,596,1
36024,C,10,0,0,1,F,1,0,0,RN,MONTE ALEGRE,1,RN,MONTE ALEGRE,CENTRO,Y,105,1,0,N,0,350,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,0,0,0,0,0,0,0,0,1,N,56,591,591,0
36025,C,10,Web,0,1,M,2,2,0,SP,SAO ROQUE,1,SP,VARGEM GRANDE PAULISTA,JD FLORESTA,Y,5,1,11,N,1,689,0,0,1,0,0,0,0,0,0,0,Y,SP,VARGEM GRANDE PAULISTA,CENTRO,Y,5,0,9,2,NULL,NULL,0,0,0,0,1,N,39,673,673,0
36026,C,10,Web,0,1,F,2,0,0,PR,MANDAGUARI,1,PR,MANDAGUARI,JD CRISTINA I,Y,44,1,15,N,1,800,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,31,869,869,0
36027,C,10,Carga,0,1,M,2,1,0,RS,eldorado do sul,1,RS,ELDORADO DO SUL,CIDADE VERDE,Y,54,1,1,N,1,762.13,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,1,11,NULL,0,0,0,0,1,N,59,929,929,0
36028,C,20,Web,0,1,F,2,0,0,BA,ribeira do pombal,1,BA,ribeira do pombal,nova esperanca,Y,86,1,5,N,1,281,0,1,0,0,0,0,0,0,15000,0,Y, ,NULL,NULL,N, ,0,9,2,NULL,NULL,0,0,0,0,1,N,36,484,484,0
36029,C,25,Web,0,1,F,1,0,0,BA,FEIRA DE SANTANA,1,BA,FEIRA DE SANTANA,MANGABEIRA,Y,86,1,10,N,1,578.61,300,1,1,0,0,0,0,0,60000,0,Y,BA,FEIRA DE SANTANA,CENTRO,N, ,0,9,2,NULL,NULL,0,0,0,0,2,N,26,440,440,1
36030,C,5,Web,0,1,F,2,0,0,RJ,RIO DE JANEIRO,1,RJ,SAQUAREMA,BOQUEIRAO,Y,22,1,10,N,1,350,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,5,NULL,NULL,0,0,0,0,1,N,38,289,289,0
36031,C,10,Web,0,1,F,1,0,0,RJ,RIO DE JANEIRO,1,RJ,ARARUAMA,VILA CAPRI,Y,20,1,3,N,1,528.11,0,0,0,0,0,0,0,0,0,0,Y,RJ,SAQUAREMA,BACAXA,Y,22,0,12,2,NULL,NULL,0,0,0,0,1,N,26,289,289,0
36032,C,10,Web,0,1,F,4,0,0,MG,belo horizonte,1,MG,Contagem,Milanez,Y,29,1,19,N,1,2385.62,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,2,NULL,NULL,0,0,0,0,1,N,42,321,321,0
36033,C,20,0,0,1,M,2,0,0,MG,PRATINHA,1,MG,IBIA,DONA MAROCA,Y,32,1,10,N,0,618,0,0,0,0,0,0,1,1,0,1,Y, ,NULL,NULL,N, ,0,0,0,0,0,0,0,0,0,1,N,41,389,389,0
36034,C,5,0,0,1,M,2,0,0,RS,TRIUNFO,1,RS,Alvorada,Formoza,Y,54,1,24,N,0,350,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,0,0,0,0,0,0,0,0,1,N,61,948,948,1
36035,C,15,Web,0,1,M,2,1,0,BA,AIQUARA,1,BA,LAURO DE FREITAS,PORTAO,Y,81,1,20,N,1,240,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,NULL,4,NULL,NULL,0,0,0,0,2,N,48,427,427,0
36036,C,10,0,0,1,M,1,0,0,BA,CACULE,1,BA,CACULE,CENTRO,Y,90,1,40,N,0,512,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,0,2,0,0,0,0,0,0,2,N,47,463,463,0
36037,C,5,0,0,1,F,5,0,0, , ,0,RJ,SAO GONCALO,PARAISO,Y,20,1,0,N,1,907,0,0,0,0,0,0,0,0,0,1,Y,RJ,NITEROI,CENTRO,N, ,0,9,2,11,0,0,0,0,0,7,N,58,244,244,0
36038,C,10,Web,0,1,M,2,1,0,CE,FORTALEZA,1,CE,MARACANAU,ALTO DA MANGUEIRA,Y,107,1,20,N,1,332,0,0,0,0,0,0,0,0,0,0,Y,CE,FORTALEZA,FATIMA,Y,107,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,21,619,619,0
36039,C,10,0,0,1,M,1,1,0,PB,TACIMA,1,SP,Guarulhos,Jardim do Triunfo,Y,5,1,28,N,1,350,0,0,0,0,0,0,1,1,0,0,N, ,NULL,NULL,N, ,0,9,5,NULL,NULL,0,0,0,0,2,N,66,717,717,0
36040,C,10,0,0,1,M,2,4,0,MS,CASSILANDIA,1,GO,GOIANIA,JARDIM CURITIBA II,Y,67,1,18,N,0,12515,0,1,0,0,0,0,1,1,0,1,Y, ,NULL,NULL,N, ,0,0,0,0,0,0,0,0,0,2,N,43,744,744,0
36041,C,10,Web,0,1,M,1,0,0,SC,Joinvile,1,SC,TUBARAO,SAO CLEMENTE,Y,50,NULL,1,N,1,432,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,28,887,887,0
36042,C,10,0,0,1,M,2,0,0,MS,DOURADOS,1,MS,CAMPO GRANDE,JARDIM TIJUCA,Y,75,1,4,N,1,361,0,0,0,0,0,0,0,0,0,1,Y,MS,CAMPO GRANDE,JD DOS ESTADOS,Y,75,0,9,2,11,0,0,0,0,0,1,N,44,790,790,0
36043,C,10,Web,0,1,M,1,0,0,TO,SAO BENTO DO TOCANTINS,1,GO,Aparecida de Goiania,Colina azul,Y,67,1,5,N,1,350,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,9,2,NULL,NULL,0,0,0,0,1,N,29,749,749,0
36044,C,25,Web,0,1,F,1,0,0,BA,S BRIGIDA,1,SP,Sao Paulo,Parque Santa Madalena,Y,5,NULL,NULL,N,1,380,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,NULL,NULL,NULL,0,0,0,0,1,N,48,398,398,0
36045,C,25,0,0,1,F,2,0,0,CE,REDENCAO,1,CE,FORTALEZA,JOSE WALTER,Y,107,1,5,N,0,400,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,9,1,0,0,0,0,0,0,1,N,48,607,607,1
36046,C,15,Web,0,1,F,1,0,0,BA,ITABUNA,1,SP,Guarulhos,Jardim Santa Edwirges,Y,5,1,3,N,1,500,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,43,714,714,0
36047,C,15,0,0,1,F,2,0,0,SP,TREMEMBE,1,SP,TREMEMBE,CENTRO,N, ,1,20,N,0,350,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,Y,9,0,2,4,0,0,0,0,0,0,2,N,42,121,121,0
36048,C,5,Web,0,1,F,1,0,0,RS,cruz alta,1,RS,cruz alta,centro,Y,62,1,5,N,1,2196,0,0,0,0,0,0,0,0,35000,0,N, ,NULL,NULL,N, ,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,27,981,981,0
36049,C,10,Carga,0,1,F,4,0,0,PR,curitiba,1,PR,CURITIBA,BOQUEIRAO,Y,40,1,1,N,1,1492.44,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,11,1,11,NULL,0,0,0,0,1,N,53,817,817,1
36050,C,10,Web,0,1,F,1,0,0,RN,Santo Antonio,1,RN,Monte Alegre,Centro,N, ,1,50,N,1,351,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,1,NULL,NULL,0,0,0,0,1,N,68,591,591,0
36051,C,5,0,0,1,M,1,2,0,AP,MACAPA,1,AP,MACAPA,TREM,Y,123,1,30,N,1,2686,0,1,0,0,0,1,1,1,0,0,Y,AP,MACAPA,BEIROL,Y,123,0,9,2,NULL,NULL,0,0,0,0,1,N,41,689,689,0
36052,C,10,0,0,1,M,2,1,0,PR,COLORADO,1,PR,COLORADO,ALTO ALEGRE,Y,44,1,4,N,0,848,0,0,0,0,0,0,1,1,20000,1,Y,PR,COLORADO,ALTO ALEGRE,Y,44,0,9,2,0,0,0,0,0,0,1,N,26,866,866,0
36053,C,10,0,0,1,F,2,0,0,BA,ITAPETINGA,1,BA,ITAPETINGA,CLODOALDO COSTA,N, ,2,0,N,1,350,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,0,0,0,0,0,0,0,0,1,N,72,457,457,1
36054,C,25,Carga,0,1,M,2,0,0,BA,governador mangabeira,1,BA,GOV FERNANDO MANGABEIRA,CENTRO,Y,86,1,1,N,1,2884,0,0,0,0,0,0,1,1,0,0,Y,BA,SAO FRANCISCO DO CONDE,MATARIPE,Y,81,0,10,2,11,NULL,0,0,0,0,1,N,46,443,443,0
36055,C,15,Web,0,1,M,2,0,0,AL,PORTO CALVO,1,RN,MOSSORO,VINGT ROSADO,Y,105,1,10,N,1,655,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,39,596,596,0
36056,C,10,Web,0,1,M,1,1,0,XX,URUGUAIA,2,RS,SANTA VITORIA DO PALMAR,DONATOS,N, ,2,1,N,1,925,0,0,0,0,0,0,0,0,0,0,Y,RS,SANTA VITORIA DO PALMAR,BRASILIANO,Y,54,0,9,2,NULL,NULL,0,0,0,0,1,N,38,962,962,0
36057,C,10,Web,0,1,M,2,0,0,RN,AREZ,1,RN,AREZ,CENTRO,Y,105,1,5,N,1,281,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,1,NULL,NULL,0,0,0,0,1,N,67,591,591,0
36058,C,10,Web,0,1,M,4,0,0,PB,SOUSA,1,DF,PLANALTINA,JARDIM RORIZ,Y,66,1,20,N,1,278,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,1,NULL,NULL,0,0,0,0,2,N,71,733,733,0
36059,C,10,0,0,1,M,2,4,0,RN,NATAL,1,RN,Natal,Neopolis,Y,105,1,30,N,0,1266,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,9,5,0,0,0,0,0,0,1,N,47,590,590,1
36060,C,25,Web,0,1,F,2,0,0,RJ,RIO DE JANEIRO,1,RJ,ARARUAMA,IGUABINHA,Y,22,1,8,N,1,676.67,0,1,1,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,NULL,2,NULL,NULL,0,0,0,0,1,N,46,289,289,0
36061,C,10,Web,0,1,M,2,0,0,AL,maceio,1,AL,MACEIO,VERGEL,Y,100,1,1,N,1,1110,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,11,1,11,NULL,0,0,0,0,1,N,38,570,570,1
36062,C,15,0,0,1,M,2,5,0,MG,mg,1,MT,varzea grande,jd gloria ii,Y,71,1,30,N,0,850,0,0,0,0,0,0,1,1,0,1,Y, ,NULL,NULL,N, ,0,2,4,0,0,0,0,0,0,1,N,48,781,781,1
36063,C,10,Web,0,1,M,2,0,0,RN,GROSSOS,1,RN,Grossos,CENTRO,Y,105,1,15,N,1,1600,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,59,596,596,0
36064,C,25,Carga,0,1,F,2,3,0,PE,carpina,1,PE,CARPINA,NOVO,Y,97,1,1,N,1,593,0,0,0,0,0,0,0,0,0,0,Y,PE,CARPINA,NOVO,N, ,0,9,2,11,NULL,0,0,0,0,1,N,30,558,558,0
36065,C,25,0,0,1,F,1,0,0,MA,JOSELANDIA,1,PA,REDENCAO,INDEPENDENCIA,Y,120,1,20,N,0,900,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,0,0,0,0,0,0,0,0,7,N,43,685,685,0
36066,C,10,Web,0,1,F,1,2,0,RS,PELOTAS,1,RS,Pelotas,Fragata,Y,58,1,35,N,1,480,0,0,0,0,0,0,0,0,0,0,Y, ,PELOTAS,DISTRITO INDUSTRIAL,Y,58,0,9,5,NULL,NULL,0,0,0,0,1,N,39,960,960,0
36067,C,25,Web,0,1,F,2,6,0,BA,IBIRRAPITANGA,1,BA,FEIRA DE SANTANA,CALUMBI,Y,86,1,4,N,1,420,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,2,NULL,NULL,0,0,0,0,1,N,58,440,440,0
36068,C,10,Web,0,1,M,2,1,0,MS,coxim,1,SP,Araras,Jardim Jose Ometto II,Y,18,1,18,N,1,381,380,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,5,NULL,NULL,0,0,0,0,1,N,62,136,136,0
36069,C,1,0,0,1,M,2,2,0,AL,PAULO JACINTO,1,AL,MACEIO,JACINTINHO,Y,100,1,16,N,0,350,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,2,4,0,0,0,0,0,0,1,N,42,570,570,0
36070,C,10,0,0,1,F,1,0,0, , ,0,PE,JABOATAO,BARRA DE JANGADA,N, ,1,0,N,1,373,0,0,1,0,0,0,1,1,0,1,Y, ,JABOATAO,PIEDADE,Y,97,0,9,2,11,0,0,0,0,0,1,N,24,544,544,1
36071,C,10,Web,0,1,F,1,0,0,MA,LAGO DA PEDRA,1,SP,Sao Paulo,Conjunto Habitacional Barro Branco II,Y,5,1,11,N,1,350,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,32,847,847,0
36072,C,1,Web,0,1,F,2,0,0,CE,PEREIRO,1,SP,BOM JESUS DOS PERDOES,JD SANTOS DUMONT,N, ,1,3,N,1,1300,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,9,4,NULL,NULL,0,0,0,0,1,N,36,129,129,1
36073,C,20,Web,0,1,M,2,2,0,SP,JOSE BONIFACIO,1,SP,Sao Jose do Rio Preto,Eldorado,Y,15,1,37,N,1,2000,0,1,0,0,0,0,0,0,0,0,Y,SP,Sao Jose do Rio Preto,Vila Santa Cruz,Y,15,0,9,5,NULL,NULL,0,0,0,0,1,N,37,150,150,1
36074,C,10,0,0,1,F,2,0,0,RN,Pedra Grande,1,RN,Natal,Pajucara,Y,105,1,10,N,1,550,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,9,4,0,0,0,0,0,0,1,N,47,591,591,1
36075,C,5,0,0,1,F,1,0,0,RN,MACAU,1,RN,Natal,Lagoa azul,Y,105,1,1,N,1,550,0,1,1,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,9,4,0,0,0,0,0,0,1,N,30,591,591,0
36076,C,10,0,0,1,M,4,0,0,BA,DST BOACU,1,BA,JEQUIE,MANDACARU,Y,84,1,30,N,0,364,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,0,1,0,0,0,0,0,0,2,N,71,452,452,0
36077,C,15,0,0,1,F,1,2,0,AP,MACAPA,1,AP,MACAPA,INFRAERO II,Y,123,1,6,N,0,796,0,0,0,0,0,0,1,1,0,1,Y,AP,MACAPA,MARCO ZERO,Y,123,0,9,2,0,0,0,0,0,0,1,N,49,689,689,0
36078,C,10,Web,0,1,F,2,0,0,BA,VC,1,BA,VITORIA DA CONQUISTA,GUARANI,Y,90,1,6,N,1,2000,1000,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,2,NULL,NULL,0,0,0,0,1,N,51,450,450,0
36079,C,10,0,0,1,F,2,0,0,MG,INHAPIM,1,SP,DIADEMA,JD CANHEMA,Y,5,5,12,N,0,350,0,0,0,0,0,0,1,1,0,1,Y,SP,DIADEMA,JD SANTA RITA,N, ,0,0,0,0,0,0,0,0,0,1,N,40,994,994,0
36080,C,20,Web,0,1,M,1,0,0,RS,CAXIAS DO SUL,1,RS,CANELA,INTERIOR,Y,61,1,NULL,N,1,475,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,2,NULL,NULL,0,0,0,0,1,N,47,956,956,1
36081,C,20,Carga,0,1,F,1,0,0,GO,CIDADE OCIDENTAL,1,GO,CIDADE OCIDENTAL,CENTRO,Y,66,1,1,N,1,871,0,0,0,0,0,0,0,0,0,0,Y,GO,CIDADE OCIDENTAL,CENTRO,N, ,0,11,2,11,NULL,0,0,0,0,1,N,58,728,728,1
36082,C,5,Web,0,1,M,2,3,0,CE,QUIXADA,1,CE,HORIZONTE,CENTRO,Y,107,1,18,N,1,880,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,4,NULL,NULL,0,0,0,0,1,N,43,628,628,1
36083,C,5,0,0,1,F,2,0,0,CE,FORTALEZA,1,CE,FORTALEZA,CENTRO,Y,107,1,1,N,1,1000,0,0,0,0,0,0,1,1,0,1,Y, ,NULL,NULL,N, ,0,0,0,0,0,0,0,0,0,7,N,42,601,601,0
36084,C,1,Web,0,1,F,2,3,0,BA,CACULE,1,BA,CACULE,ZONA RURAL,Y,90,1,5,N,1,300,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,NULL,NULL,NULL,NULL,0,0,0,0,2,N,41,463,463,0
36085,C,1,0,0,1,M,2,0,0,PE,GOIANA,1,PE,GOIANA,NOVA GOIANA,Y,97,1,1,N,1,689,0,0,0,0,0,0,0,0,0,0,N,PE,GOIANA,CENTRO,N, ,0,9,NULL,NULL,NULL,0,0,0,0,1,N,51,559,559,0
36086,C,15,Web,0,1,F,1,0,0,CE,ARACATI,1,CE,ARACATI,VARZEA DA MATRIZ,Y,112,5,10,N,1,350,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,9,2,NULL,NULL,0,0,0,0,2,N,21,628,628,0
